,city,sunrise,sunset
0,"New York, New York",7:14am,4:30pm
1,"Chicago, Illinois",7:13am,4:21pm
2,"Denver, Colorado",7:15am,4:37pm
3,"Phoenix, Arizona",7:26am,5:23pm
4,"Los Angeles, California",6:53am,4:46pm
5,"San Francisco, California",7:19am,4:53pm
6,"Seattle, Washington",7:53am,4:19pm
7,"Anchorage, Alaska",10:12am,3:40pm
8,"Honolulu, Hawaii",7:03am,5:53pm
9,"Augusta National, Georgia, USA",7:26am,5:22pm
10,"St Andrews, Fife, Scotland",8:41am,3:34pm
11,"Windsor Park, 東茨城郡, Japan",6:45am,4:25pm
12,"Grand Canyon, South Rim, Arizona",7:33am,5:16pm
13,"Yosemite, El Capitan, California",7:08am,4:42pm
14,"Old Faithful Geyser, Wyoming",7:54am,4:45pm
15,"Haleakala, Maui, Hawaii",6:55am,5:48pm
16,"Carlsbad Caverns, New Mexico",6:53am,4:55pm
17,"Denali National Park, Alaska",10:41am,3:03pm
18,"Calgary, Alberta",8:35am,4:30pm
19,"Halifax, Nova Scotia",7:46am,4:35pm
20,"Montréal, Québec",7:29am,4:12pm
21,"Ottawa, Ontario",7:37am,4:21pm
22,"Regina, Saskatchewan",8:54am,4:55pm
23,"St. John's, Newfoundland",7:44am,4:10pm
24,"Toronto, Ontario",7:46am,4:42pm
25,"Vancouver, British Columbia",8:03am,4:15pm
26,"Winnipeg, Manitoba",8:22am,4:28pm
27,"Amsterdam, Netherlands",8:46am,4:27pm
28,"Athens, Greece",7:35am,5:07pm
29,"Bangkok, Thailand",6:35am,5:54pm
30,"Bern, Switzerland",8:11am,4:42pm
31,"Bogota, Colombia",5:57am,5:48pm
32,"Brussels, Belgium",8:40am,4:37pm
33,"Buenos Aires, Argentina",5:36am,8:04pm
34,"Cairo, Egypt",6:45am,4:58pm
35,"Calcutta, India",6:10am,4:55pm
36,"Caracas, Venezuela",6:09am,5:39pm
37,"Casablanca, Morocco",7:29am,5:25pm
38,"København, Denmark",8:35am,3:37pm
39,"Dublin, Ireland",8:36am,4:07pm
40,"Frankfurt, Germany",8:20am,4:24pm
41,"Glasgow, Scotland",8:44am,3:43pm
42,"Havana, Cuba",7:04am,5:47pm
43,"Hong Kong, China",6:57am,5:43pm
44,"Jerusalem, Israel",6:33am,4:38pm
45,"Johannesburg, South Africa",5:11am,6:57pm
46,"Lima, Peru",5:40am,6:29pm
47,"London, United Kingdom",8:02am,3:52pm
48,"Madrid, Spain",8:32am,5:50pm
49,"Mexico City, Mexico",7:04am,6:02pm
50,"Moscow, Russia",9:55am,4:56pm
51,"Nairobi, Kenya",6:23am,6:35pm
52,"Paris, France",8:39am,4:55pm
53,"Reykjavik, Iceland",11:19am,3:29pm
54,"Rio de Janeiro, Brazil",6:03am,7:35pm
55,"Rome, Italy",7:32am,4:40pm
56,"San Jose, Costa Rica",5:46am,5:19pm
57,"Santiago, Chile",6:28am,8:49pm
58,"Seoul, South Korea",7:41am,5:16pm
59,"Shanghai, China",6:47am,4:54pm
60,"Singapore, Singapore",7:00am,7:02pm
61,"Stanley, Falkland Islands",4:28am,9:08pm
62,"Stockholm, Sweden",8:41am,2:47pm
63,"Sydney, Australia",5:39am,8:03pm
64,"Taipei, Taiwan",6:33am,5:08pm
65,"東京 (Tokyo), Japan",6:45am,4:30pm
66,"Vienna, Austria",7:40am,4:01pm
67,"Wellington, New Zealand",5:43am,8:52pm
